iter	Logloss
0	0.6806044769
1	0.6695050049
2	0.6636871338
3	0.6506256866
4	0.6367594528
5	0.6225131226
6	0.6110310364
7	0.6004222107
8	0.5893202209
9	0.579905777
10	0.5738290024
11	0.5651114655
12	0.5591213226
13	0.5530648041
14	0.5472170258
15	0.5399419403
16	0.5311500549
17	0.5236528778
18	0.5151673126
19	0.5076046753
20	0.5013796997
21	0.4970946503
22	0.4904508209
23	0.484840889
24	0.480711441
25	0.4750642395
26	0.4697644424
27	0.4636004639
28	0.4580242538
29	0.4532683563
30	0.4490834808
31	0.4436771011
32	0.4393363571
33	0.4338741684
34	0.4306601334
35	0.4284506226
36	0.4249334717
37	0.421921196
38	0.4171127319
39	0.4150727463
40	0.4103058243
41	0.4077108765
42	0.4034992218
43	0.401248436
44	0.3985245514
45	0.3946371078
46	0.3921366119
47	0.3887990952
48	0.3850824738
49	0.3827074051
