iter	Passed	Remaining
0	142	6998
1	143	3453
2	145	2274
3	146	1680
4	147	1323
5	147	1082
6	148	909
7	148	780
8	149	680
9	149	599
10	150	532
11	150	477
12	151	430
13	151	389
14	152	354
15	152	323
16	152	296
17	153	272
18	153	250
19	154	231
20	154	213
21	155	197
22	155	182
23	156	169
24	157	157
25	158	145
26	159	135
27	159	125
28	160	116
29	161	107
30	162	99
31	162	91
32	163	84
33	164	77
34	164	70
35	165	64
36	167	58
37	168	53
38	170	48
39	173	43
40	176	38
41	178	34
42	179	29
43	180	24
44	181	20
45	182	15
46	183	11
47	183	7
48	184	3
49	184	0
