ticker,is_new,old_ic,new_ic,delta,new_pass
SO,True,0.0467,0.1262,0.0795,True
TLT,False,-0.0391,0.0353,0.0744,True
D,True,0.0486,0.1158,0.0672,True
AVB,True,0.0504,0.1105,0.0601,True
SRE,True,0.045,0.103,0.058,True
XLF,False,-0.0425,0.0148,0.0574,False
EEM,False,-0.0339,0.0147,0.0485,False
SPG,True,0.03,0.0766,0.0465,True
XLV,False,0.0059,0.0507,0.0449,True
PEG,True,0.0521,0.0925,0.0404,True
XLE,False,0.002,0.0399,0.038,True
CSX,True,0.0308,0.067,0.0363,True
PSA,True,0.0328,0.067,0.0342,True
UNP,True,0.0388,0.0717,0.0329,True
CRVL,True,0.0664,0.0926,0.0262,True
GLD,False,0.0484,0.074,0.0256,True
KO,True,0.0543,0.0798,0.0255,True
VRTX,True,0.0706,0.0945,0.0238,True
PEP,True,0.0306,0.054,0.0234,True
KODK,False,0.0739,0.095,0.0211,True
IWM,False,0.0009,0.0213,0.0204,False
NEM,True,0.0523,0.0722,0.0198,True
HIFS,True,0.0358,0.05,0.0142,True
NSC,True,0.0472,0.0605,0.0133,True
WMT,True,0.0402,0.0495,0.0092,True
QQQ,False,0.087,0.0955,0.0084,True
JOE,False,0.0318,0.039,0.0071,True
REGN,True,0.0361,0.0402,0.0041,True
XLK,False,0.1121,0.1154,0.0033,True
EOG,True,0.0436,0.0444,0.0008,True
BMY,True,0.0542,0.0499,-0.0042,True
SPY,False,0.0736,0.0632,-0.0104,True
OXY,True,0.0383,0.0266,-0.0117,False
