ticker,n_train,n_test,train_auc,test_auc,rank_ic,hit_rate,pct_positive,gap,test_start,test_end
EEM,1690,725,0.542,0.5698,0.115,0.603,0.345,-0.0278,2022-03-11,2025-01-30
GLD,1676,719,0.5234,0.5151,0.0257,0.538,0.398,0.0082,2022-02-18,2024-12-30
IWM,1690,725,0.5742,0.5997,0.1555,0.639,0.283,-0.0256,2022-03-11,2025-01-30
JOE,1690,725,0.6234,0.5346,0.0536,0.719,0.276,0.0888,2022-03-11,2025-01-30
KODK,1690,725,0.6332,0.6731,0.2764,0.705,0.306,-0.0399,2022-03-11,2025-01-30
QQQ,1676,719,0.6243,0.6344,0.2184,0.622,0.327,-0.0101,2022-02-18,2024-12-30
SPY,1676,719,0.6529,0.6557,0.2559,0.615,0.342,-0.0028,2022-02-18,2024-12-30
TLT,1677,719,0.608,0.5473,0.0724,0.655,0.266,0.0607,2022-02-22,2024-12-31
XLE,1690,725,0.5313,0.5199,0.0322,0.69,0.321,0.0113,2022-03-11,2025-01-30
XLF,1690,725,0.5596,0.5469,0.0767,0.592,0.337,0.0127,2022-03-11,2025-01-30
XLK,1690,725,0.5942,0.5921,0.1514,0.651,0.342,0.0021,2022-03-11,2025-01-30
XLV,1690,725,0.5967,0.5121,0.0194,0.502,0.312,0.0846,2022-03-11,2025-01-30
