category,regime,n_samples,pct_positive,rank_ic,hit_rate,auc,mean_prediction,performance
ADX,Trending,1921,0.285,0.2003,0.715,0.6281,0.2952,STRONG
ADX,Ranging,556,0.295,0.1849,0.705,0.617,0.2954,STRONG
ADX,Transition,351,0.311,0.2342,0.689,0.6461,0.2956,STRONG
Direction,Bull (SPY 20d > 0),1524,0.293,0.1964,0.707,0.6246,0.2951,STRONG
Direction,Bear (SPY 20d < 0),1282,0.289,0.2122,0.711,0.6352,0.2957,STRONG
Volatility,Normal Vol,1521,0.295,0.194,0.705,0.6229,0.2955,STRONG
Volatility,Low Vol,552,0.346,0.2096,0.654,0.6272,0.2954,STRONG
Volatility,High Vol,511,0.254,0.2021,0.746,0.634,0.2952,STRONG
Year,2020,253,0.391,0.3861,0.609,0.7284,0.2957,STRONG
Year,2015,252,0.214,0.0194,0.786,0.5137,0.2945,WEAK
Year,2016,252,0.298,0.5237,0.702,0.8307,0.2947,STRONG
Year,2019,252,0.341,0.4692,0.659,0.7857,0.2951,STRONG
Year,2021,252,0.306,-0.0025,0.694,0.4984,0.2953,NOISE
Year,2024,252,0.238,-0.0368,0.762,0.4751,0.2956,ANTI-SIGNAL
Year,2017,251,0.231,0.381,0.769,0.7609,0.2945,STRONG
Year,2018,251,0.239,0.3663,0.761,0.7479,0.2951,STRONG
Year,2022,251,0.283,-0.0179,0.717,0.4885,0.2966,ANTI-SIGNAL
Year,2023,250,0.292,0.076,0.708,0.5483,0.2954,STRONG
Year,2025,250,0.308,-0.068,0.692,0.4575,0.2961,ANTI-SIGNAL
Year,2026,88,0.375,0.0873,0.625,0.5521,0.2951,STRONG
