ticker,n_train,n_test,train_auc,test_auc,rank_ic,hit_rate,pct_positive,gap,test_start,test_end
AVB,1732,743,0.5781,0.6227,0.193,0.699,0.291,-0.0446,2022-01-14,2024-12-30
BMY,1732,743,0.5398,0.5398,0.0617,0.686,0.279,0.0001,2022-01-14,2024-12-30
CRVL,1690,725,0.5243,0.5713,0.1164,0.669,0.332,-0.047,2022-02-10,2024-12-30
CSX,1732,743,0.5875,0.5672,0.1044,0.717,0.279,0.0202,2022-01-14,2024-12-30
D,1732,743,0.5772,0.5804,0.1207,0.75,0.25,-0.0033,2022-01-14,2024-12-30
EEM,1690,725,0.5532,0.5726,0.1186,0.67,0.334,-0.0193,2022-02-10,2024-12-30
EOG,1732,743,0.5307,0.5729,0.1176,0.681,0.319,-0.0421,2022-01-14,2024-12-30
GLD,1690,725,0.55,0.5026,0.0045,0.572,0.401,0.0473,2022-02-10,2024-12-30
HIFS,1690,725,0.5418,0.5044,0.0069,0.706,0.295,0.0374,2022-02-10,2024-12-30
IWM,1690,725,0.5708,0.6138,0.1767,0.724,0.279,-0.043,2022-02-10,2024-12-30
JOE,1690,725,0.553,0.5212,0.0326,0.709,0.273,0.0318,2022-02-10,2024-12-30
KO,1732,743,0.6049,0.5422,0.0657,0.662,0.28,0.0626,2022-01-14,2024-12-30
KODK,1690,725,0.5506,0.6243,0.1975,0.697,0.301,-0.0738,2022-02-10,2024-12-30
NEM,1732,743,0.5342,0.483,-0.0267,0.709,0.291,0.0512,2022-01-14,2024-12-30
NSC,1732,743,0.5716,0.547,0.0734,0.716,0.283,0.0246,2022-01-14,2024-12-30
OXY,1732,743,0.5042,0.5158,0.0244,0.712,0.276,-0.0116,2022-01-14,2024-12-30
PEG,1732,743,0.5734,0.5585,0.0926,0.708,0.297,0.0149,2022-01-14,2024-12-30
PEP,1732,743,0.5912,0.5761,0.1125,0.728,0.24,0.0151,2022-01-14,2024-12-30
PSA,1732,743,0.5521,0.541,0.0657,0.7,0.31,0.0111,2022-01-14,2024-12-30
QQQ,1690,725,0.6202,0.6302,0.2111,0.691,0.324,-0.0099,2022-02-10,2024-12-30
REGN,1732,743,0.5438,0.5354,0.0546,0.708,0.273,0.0084,2022-01-14,2024-12-30
SO,1732,743,0.5881,0.5987,0.1516,0.732,0.269,-0.0106,2022-01-14,2024-12-30
SPG,1732,743,0.573,0.5029,0.0045,0.694,0.301,0.0701,2022-01-14,2024-12-30
SPY,1690,725,0.6304,0.6469,0.241,0.668,0.339,-0.0165,2022-02-10,2024-12-30
SRE,1732,743,0.6043,0.5567,0.0883,0.719,0.281,0.0476,2022-01-14,2024-12-30
TLT,1690,725,0.5649,0.5192,0.0294,0.716,0.266,0.0457,2022-02-10,2024-12-30
UNP,1732,743,0.5555,0.6344,0.2069,0.736,0.271,-0.079,2022-01-14,2024-12-30
VRTX,1732,743,0.5489,0.5429,0.0679,0.701,0.297,0.0061,2022-01-14,2024-12-30
WMT,1732,743,0.5632,0.6154,0.1892,0.669,0.339,-0.0522,2022-01-14,2024-12-30
XLE,1690,725,0.5422,0.581,0.131,0.681,0.321,-0.0388,2022-02-10,2024-12-30
XLF,1690,725,0.5857,0.587,0.1416,0.669,0.33,-0.0013,2022-02-10,2024-12-30
XLK,1690,725,0.6124,0.6178,0.1921,0.681,0.331,-0.0055,2022-02-10,2024-12-30
XLV,1690,725,0.6189,0.5599,0.0951,0.639,0.299,0.0589,2022-02-10,2024-12-30
