category,regime,n_samples,pct_positive,rank_ic,hit_rate,auc,mean_prediction,performance
ADX,Trending,1832,0.334,0.3083,0.689,0.6888,0.4073,STRONG
ADX,Ranging,587,0.291,0.212,0.722,0.6347,0.4169,STRONG
ADX,Transition,409,0.284,0.1618,0.711,0.6036,0.403,STRONG
Direction,Bull (SPY 20d > 0),1944,0.322,0.2831,0.697,0.6749,0.4109,STRONG
Direction,Bear (SPY 20d < 0),889,0.307,0.2371,0.706,0.6484,0.4037,STRONG
Volatility,Normal Vol,1350,0.329,0.2949,0.694,0.6812,0.4072,STRONG
Volatility,Low Vol,756,0.357,0.2558,0.665,0.6541,0.436,STRONG
Volatility,High Vol,478,0.274,0.2539,0.726,0.6643,0.3706,STRONG
Year,2020,253,0.352,0.389,0.656,0.7351,0.3908,STRONG
Year,2015,252,0.222,0.1324,0.73,0.5919,0.4172,STRONG
Year,2016,252,0.226,0.3348,0.794,0.731,0.4009,STRONG
Year,2019,252,0.377,0.3372,0.659,0.7008,0.4074,STRONG
Year,2021,252,0.337,0.1752,0.667,0.607,0.408,STRONG
Year,2017,251,0.402,0.4521,0.661,0.7661,0.4508,STRONG
Year,2018,251,0.315,0.4369,0.729,0.7716,0.4086,STRONG
Year,2022,251,0.251,0.1219,0.749,0.5811,0.3844,STRONG
Year,2024,251,0.375,0.1596,0.641,0.5952,0.4176,STRONG
Year,2023,250,0.368,0.1098,0.624,0.5657,0.4111,STRONG
Year,2025,250,0.272,0.3808,0.732,0.747,0.4078,STRONG
Year,2026,89,0.258,-0.2208,0.753,0.3544,0.4115,ANTI-SIGNAL
