iter	Logloss
0	0.6895888502
1	0.687254819
2	0.6849183169
3	0.6804409027
4	0.6781752326
5	0.6747461666
6	0.6729939634
7	0.670579
8	0.6682558927
9	0.6656082327
10	0.6642488133
11	0.6614151001
12	0.659474633
13	0.6577600999
14	0.656740362
15	0.6529150876
16	0.6502493078
17	0.6486978964
18	0.647073659
19	0.6446993134
20	0.6410577947
21	0.6382936998
22	0.6360160221
23	0.6326335994
24	0.630987124
25	0.6302738623
26	0.6282986728
27	0.625431581
28	0.622999408
29	0.6210324114
30	0.6184389808
31	0.6146061637
32	0.6129530993
33	0.6116115397
34	0.609452421
35	0.6076622876
36	0.606837446
37	0.6057033972
38	0.6051881097
39	0.6031935432
40	0.5990907929
41	0.5973189961
42	0.5949342901
43	0.5928478241
44	0.59078546
45	0.5893801776
46	0.5876493454
47	0.5859091499
48	0.5832411159
49	0.5803376111
50	0.5785668113
51	0.5771251158
52	0.5749010606
53	0.5722804503
54	0.5692906813
55	0.5675370476
56	0.565866557
57	0.5637397766
58	0.5613980727
59	0.5598454909
60	0.5560310971
61	0.5526207144
62	0.550115542
63	0.5490605614
64	0.5484019193
65	0.5470830744
66	0.54489851
67	0.5430474715
68	0.5402252024
69	0.5390350602
70	0.5365287174
71	0.535260764
72	0.5333161354
73	0.5318520286
74	0.5312699405
75	0.530134201
76	0.528261965
77	0.5261428139
78	0.5232489759
79	0.5219481208
80	0.5203969262
81	0.5171797492
82	0.5150718255
83	0.5136501139
84	0.5122655522
85	0.5113315149
86	0.5096302032
87	0.5074925856
88	0.5042572888
89	0.5021424294
90	0.4990481897
91	0.4974548166
92	0.4952075265
93	0.4924263954
94	0.4903574423
95	0.4886784987
96	0.48783363
97	0.4864899028
98	0.4835068963
99	0.4815346111
