iter	Passed	Remaining
0	0	94
1	1	96
2	2	91
3	4	97
4	4	91
5	5	85
6	6	81
7	7	82
8	8	83
9	9	83
10	10	81
11	10	78
12	11	75
13	11	73
14	12	71
15	13	69
16	13	68
17	14	67
18	15	65
19	16	65
20	17	65
21	18	65
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	56
30	25	56
31	25	55
32	26	54
33	27	53
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	31	47
40	32	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	41	38
52	41	37
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	50	27
65	51	26
66	52	25
67	53	24
68	53	24
69	54	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	79	0
