feature,mean_abs_shap
atr_14,0.061309924291468795
ema_55,0.05962537741349716
highest_5,0.050227918016902275
vol_regime_state,0.047436620936795695
highest_50,0.040162986301136384
highest_10,0.03888769958586865
vwap_10,0.03668659209390851
ema_21,0.036344444316783533
vwap_20,0.03456331452763652
lowest_10,0.0341860099189333
SPY_vol_percentile_60d,0.033694330764575016
lowest_20,0.03281311619870709
lowest_5,0.030367876723482387
vol_regime,0.029584607659264548
corr_SPY_60d,0.025315650035797145
highest_100,0.0229317471208074
momentum_20,0.017136532570783684
volatility_50,0.016815171452012948
cmf,0.015273228414969968
std_return_20,0.01306801247172435
stoch_k_21,0.012786603028490027
std_return_50,0.011984454940336939
SPY_atr_ratio,0.011480385013325092
bb_squeeze_10,0.011423423742273585
lowest_100,0.010719101285954404
std_return_100,0.00984022175842736
dist_to_low_50,0.009808855870711487
dist_to_low_10,0.009463566116200499
resid_vol_SPY_20d,0.009449913980316636
close_percentile_5,0.009118653576240325
highest_20,0.00871423481992992
log_return_10,0.008439971556264355
dist_to_low_20,0.007840293316483253
rsi_14,0.0076835258106189245
price_vs_ma_20,0.007465352089222269
return_5,0.007129345238716664
ma_slope_5,0.0070579873505460375
hl_range,0.0070036502765922545
di_diff,0.006482639824244173
stoch_d_14,0.006370552925197693
price_to_ma_10,0.00603816654340977
price_position_20,0.00602945038543134
volume_ratio_50,0.005763941770384009
return_50,0.005724882124636392
dist_to_high_10,0.005618959883042697
corr_dispersion_20d,0.005604105904350672
XLK_relative_5d,0.005460844211107028
rsi_10,0.005422441680226342
volatility_20,0.005157940171470595
stoch_k_14,0.00509026739128438
body_ratio,0.005086021124129571
std_return_10,0.004890737622180551
log_return_5,0.004868634424484943
roc_14,0.00436775743528345
price_to_ma_20,0.004134245892923599
avg_cross_corr_20d,0.003795524329853044
plus_di,0.0036787660205440686
volatility_100,0.003286382899364589
lowest_50,0.003206111093282445
bb_pct_10,0.003107804112281263
volatility_10,0.002969158041765036
close_percentile_20,0.002921843126375173
price_to_ma_100,0.002827507938036461
roc_5,0.0026912474571770036
bb_pct_20,0.0026386648345060153
ema_8,0.002603585401555225
dist_to_high_20,0.0024441868108040963
rel_ret_SPY_5d,0.002390010447974177
rel_ret_IWM_5d,0.0020399219598708344
roc_50,0.0015579142926131825
rsi_5,0.001293477137164893
roc_10,0.0012421406334342045
close_to_vwap_10,0.0012214286625224975
narrow_range_14,0.001162359645953084
macd_histogram,0.000349504839767883
close_to_vwap_20,0.00023133282218162847
price_position_10,0.0
long_body,0.0
volume_zscore_5,0.0
return_10,0.0
close_percentile_10,0.0
inside_bar,0.0
