ticker,wf_ic,wf_hit_rate,wf_ic_std,wf_n_steps,date,name,sector,market_cap_str,vol_m_str,inst_pct_str,history_str,ann_vol_str,ic_str,verdict,market_cap_m,daily_vol_m,inst_pct,history_years,ann_vol_pct,ic_old
AA,-0.0078,-0.0078,0.0,26,2026-05-11,Alcoa Corporation,Basic Materials,$16.7B,$369M,87%,16yr,48.3%,-0.014,FAIL,16700.0,369.0,87.0,16.0,48.3,-0.014
AAL,-0.0316,-0.0316,0.0,26,2026-05-11,"American Airlines Group, Inc.",Industrials,$8.8B,$892M,77%,16yr,51.7%,-0.052,FAIL,8800.0,892.0,77.0,16.0,51.7,-0.052
ABBV,0.0229,0.0229,0.0,20,2026-05-11,AbbVie Inc.,Healthcare,$356.5B,$1396M,80%,13yr,26.3%,+0.029,FAIL,356500.0,1396.0,80.0,13.0,26.3,0.029
AEM,0.0398,0.0398,0.0,26,2026-05-11,Agnico Eagle Mines Limited,Basic Materials,$96.6B,$502M,74%,16yr,40.7%,+0.026,FAIL,96600.0,502.0,74.0,16.0,40.7,0.026
AEP,0.0807,0.0807,0.0,26,2026-05-11,American Electric Power Company,Utilities,$70.8B,$433M,88%,16yr,19.4%,+0.027,FAIL,70800.0,433.0,88.0,16.0,19.4,0.027
AMGN,0.0387,0.0387,0.0,26,2026-05-11,Amgen Inc.,Healthcare,$179.1B,$881M,88%,16yr,24.5%,+0.013,FAIL,179100.0,881.0,88.0,16.0,24.5,0.013
AMT,0.0675,0.0675,0.0,26,2026-05-11,American Tower Corporation (REI,Real Estate,$82.2B,$553M,89%,16yr,24.3%,+0.028,FAIL,82200.0,553.0,89.0,16.0,24.3,0.028
AVB,0.1105,0.1105,0.0,26,2026-05-11,"AvalonBay Communities, Inc.",Real Estate,$25.6B,$189M,94%,16yr,23.8%,+0.050,PASS,25600.0,189.0,94.0,16.0,23.8,0.05
BIIB,0.0239,0.0239,0.0,26,2026-05-11,Biogen Inc.,Healthcare,$28.6B,$214M,102%,16yr,38.2%,+0.012,FAIL,28600.0,214.0,102.0,16.0,38.2,0.012
BMY,0.0499,0.0499,0.0,26,2026-05-11,Bristol-Myers Squibb Company,Healthcare,$114.7B,$677M,86%,16yr,23.7%,+0.054,PASS,114700.0,677.0,86.0,16.0,23.7,0.054
CAR,-0.0084,-0.0084,0.0,26,2026-05-11,"Avis Budget Group, Inc.",Industrials,$5.1B,$420M,143%,16yr,68.9%,�,FAIL (fundamental),5100.0,420.0,143.0,16.0,68.9,
CAT,0.0068,0.0068,0.0,26,2026-05-11,"Caterpillar, Inc.",Industrials,$413.4B,$2342M,76%,16yr,29.5%,+0.004,FAIL,413400.0,2342.0,76.0,16.0,29.5,0.004
CL,0.0434,0.0434,0.0,26,2026-05-11,Colgate-Palmolive Company,Consumer Defensive,$70.1B,$532M,90%,16yr,18.3%,+0.011,FAIL,70100.0,532.0,90.0,16.0,18.3,0.011
COP,0.0083,0.0083,0.0,26,2026-05-11,ConocoPhillips,Energy,$138.7B,$1128M,88%,16yr,33.7%,-0.007,FAIL,138700.0,1128.0,88.0,16.0,33.7,-0.007
COST,0.0097,0.0097,0.0,26,2026-05-11,Costco Wholesale Corporation,Consumer Defensive,$447.6B,$1859M,75%,16yr,20.3%,+0.001,FAIL,447600.0,1859.0,75.0,16.0,20.3,0.001
CRVL,0.0926,0.0926,0.0,16,2026-05-11,CorVel Corp.,Financial Services,$3.0B,$14M,57%,16yr,33.3%,+0.066,PASS,3000.0,14.0,57.0,16.0,33.3,0.066
CSX,0.067,0.067,0.0,26,2026-05-11,CSX Corporation,Industrials,$83.3B,$565M,82%,16yr,27.4%,+0.031,PASS,83300.0,565.0,82.0,16.0,27.4,0.031
CVX,0.0362,0.0362,0.0,26,2026-05-11,Chevron Corporation,Energy,$361.7B,$2223M,70%,16yr,26.6%,+0.017,FAIL,361700.0,2223.0,70.0,16.0,26.6,0.017
D,0.1158,0.1158,0.0,26,2026-05-11,"Dominion Energy, Inc.",Utilities,$54.4B,$311M,89%,16yr,20.9%,+0.049,PASS,54400.0,311.0,89.0,16.0,20.9,0.049
DAL,-0.0172,-0.0172,0.0,26,2026-05-11,"Delta Air Lines, Inc.",Industrials,$48.2B,$864M,90%,16yr,41.1%,-0.029,FAIL,48200.0,864.0,90.0,16.0,41.1,-0.029
DUK,0.0637,0.0637,0.0,26,2026-05-11,Duke Energy Corporation (Holdin,Utilities,$96.8B,$507M,73%,16yr,18.5%,+0.010,FAIL,96800.0,507.0,73.0,16.0,18.5,0.01
ED,0.0645,0.0645,0.0,26,2026-05-11,"Consolidated Edison, Inc.",Utilities,$39.2B,$235M,78%,16yr,18.8%,+0.015,FAIL,39200.0,235.0,78.0,16.0,18.8,0.015
EEM,0.0147,0.0147,0.0,15,,,,,,,,,,,,,,,,
EOG,0.0444,0.0444,0.0,26,2026-05-11,"EOG Resources, Inc.",Energy,$69.3B,$667M,99%,16yr,37.1%,+0.044,PASS,69300.0,667.0,99.0,16.0,37.1,0.044
EQR,0.0624,0.0624,0.0,26,2026-05-11,Equity Residential,Real Estate,$25.3B,$172M,106%,16yr,24.3%,+0.001,FAIL,25300.0,172.0,106.0,16.0,24.3,0.001
EXC,0.0719,0.0719,0.0,26,2026-05-11,Exelon Corporation,Utilities,$44.9B,$394M,98%,16yr,22.5%,+0.011,FAIL,44900.0,394.0,98.0,16.0,22.5,0.011
FCX,-0.0132,-0.0132,0.0,26,2026-05-11,"Freeport-McMoRan, Inc.",Basic Materials,$88.6B,$1074M,91%,16yr,49.5%,-0.045,FAIL,88600.0,1074.0,91.0,16.0,49.5,-0.045
