lo,hi,n,mean_ic,median_ic,pass_pct,cum_mean
16,18,4,0.045425,0.04105,50.0,0.045425
18,20,7,0.06862857142857141,0.0637,100.0,0.06019090909090908
20,22,7,0.05361428571428572,0.0554,57.14285714285714,0.05763333333333333
22,24,9,0.056988888888888894,0.0562,66.66666666666666,0.05741851851851852
24,26,6,0.05035,0.055499999999999994,83.33333333333334,0.056133333333333334
26,28,7,0.042557142857142856,0.0362,57.14285714285714,0.0537575
28,30,2,0.0024,0.0024,0.0,0.05131190476190476
30,32,2,0.04555,0.04555,100.0,0.05105
32,34,6,0.036583333333333336,0.024399999999999998,50.0,0.049314
34,36,1,-0.0201,-0.0201,0.0,0.047952941176470594
36,38,4,0.038475,0.0324,50.0,0.04726363636363637
38,40,4,0.013625,0.0242,25.0,0.044983050847457635
40,42,3,0.0164,0.0266,33.33333333333333,0.04360000000000001
42,44,2,0.0509,0.0509,50.0,0.043828125
44,46,1,0.0126,0.0126,0.0,0.04334769230769231
48,50,3,-0.004999999999999999,-0.0078,0.0,0.04121470588235294
50,52,1,-0.0316,-0.0316,0.0,0.04015942028985507
