rank,pattern_name,trade_count,win_rate,avg_pnl,ablation_delta_sharpe,avg_synergy_score,composite_score
1,Triple Bottom,32,0.0,0.0,0.15072879844955922,,0.4033333333333333
2,Double Bottom,41,0.0,0.0,0.09520563667366033,,0.3972280723087399
3,Matching Lows,15,0.0,0.0,0.12790491783896973,0.0,0.33182489359967987
4,Gap Pattern,7,0.0,0.0,0.14191671342417178,,0.31426973140872844
5,Rectangle,9,0.0,0.0,0.12234887610943501,,0.3082119448681568
6,Floor Pivot Breakout,61,0.0,0.0,-0.148496062852642,0.0,0.30542189283151977
7,NR7ID,1,0.0,0.0,0.04519109278745015,0.0,0.2313715881986898
8,Donchian Channel Breakout,14,0.0,0.0,-0.024110672412441247,,0.22963979479975413
9,n-Bar Decline,1,0.0,0.0,0.041207272516559645,0.0,0.22878101399226913
10,Three Hills and Mountain,1,0.0,0.0,-0.0006379533554280448,,0.20157015721795274
11,Triple Top,21,0.0,0.0,-0.10352105139312806,,0.20133463404422736
12,Hammer,1,0.0,0.0,-0.004036206400312992,,0.19936036207501026
13,Symmetric Triangle,4,0.0,0.0,-0.049235326971366344,0.0,0.17996855523074798
14,Double Top,14,0.0,0.0,-0.1406271320546728,,0.15387218621103804
15,Head and Shoulders,19,0.0,0.0,-0.3106152843815735,,0.06
16,Bollinger Bands (Bullish Reversal),7,0.0,0.0,,,0.020000000000000004
17,bearish_engulfing,6,0.0,0.0,,,0.016666666666666666
18,bullish_engulfing,5,0.0,0.0,,,0.013333333333333334
19,piercing_line,5,0.0,0.0,,,0.013333333333333334
20,Hanging Man,1,0.0,0.0,,,0.0
21,ABC Pattern (Bearish),1,0.0,0.0,,,0.0
