Strategy,Total Trades,Win Rate [%],Sharpe Ratio,Profit Factor,Max Drawdown [%],Return [%],Buy & Hold [%],Equity Final [$],Equity Peak [$],Exposure Time [%],norm_sharpe,norm_return,norm_dd,norm_pf,norm_wr,Composite_Score
SMA_Cross,61,31.147540983606557,0.07418464523419867,1.0848339753204417,-31.030882486273615,4.640655812890618,8.208571190773718,1046406.5581289062,1434834.9833984375,50.807097882083575,1.0,1.0,0.25636225300373927,1.0,0.3342331033682162,0.7846957609375695
CCI,495,54.94949494949495,-0.820872655289964,0.8795627680507179,-67.08834278428535,-43.33406089687513,3.4666799416128136,566659.3910312487,1496007.2078320296,72.49570692615913,0.7470466498402837,0.4352741835616062,0.7900020998538232,0.7698902994324862,1.0,0.7064165057281242
Ichimoku,185,33.513513513513516,-0.37214753250317195,0.9100934583887008,-39.754773437377054,-16.292133354687586,8.20282291361091,837078.6664531241,1294138.1745078124,26.485403548941044,0.8738614616330902,0.7535934078671273,0.3854732828047034,0.8041153040263426,0.4004119637680671,0.6883099389984076
UltOsc,16,31.25,-0.2465981234032691,0.7724785990547707,-36.06676507541646,-16.744912832421903,5.295336224487627,832550.871675781,1063402.4035625,70.440755580996,0.9093431493683838,0.7482635950455747,0.3308918397082521,0.6498485927025193,0.33709899502879026,0.6572343999218162
TSI,231,49.35064935064935,-1.4406707648012738,0.6994365526163816,-73.29770768469655,-59.62886698867172,-1.852067398797348,403711.33011328295,1301667.176558594,71.70578133943903,0.5718846706779093,0.24346278153571455,0.8818988809112078,0.5679682176692538,0.8433941152728035,0.5783455169472114
EMA_Ribbon,393,28.498727735368956,-1.1183960819639618,0.8072253434732248,-54.40743058770055,-49.221015638671936,-1.7367992344691294,507789.8436132807,1032618.2556015626,54.41900400686892,0.6629631531925126,0.36597694637291145,0.6023283151064815,0.6887998078299304,0.2601428762144439,0.5401831043682119
AO,651,42.54992319508449,-1.9812128301176648,0.7709041662889615,-71.84422292818954,-69.08212146445324,5.794963961101281,309178.78535546764,1097710.2392421877,73.31425300515168,0.41912134899564324,0.13218548345114,0.8603877324151474,0.6480836483777753,0.6531703061720104,0.4933898999183748
ParabolicSAR,599,33.7228714524207,-2.0291574668139885,0.7719648591205169,-67.88607621676232,-63.81969159570288,-1.7367992344691294,361803.08404297126,1053431.6810234375,45.51803091013165,0.40557165059373834,0.1941312375461276,0.801808320902555,0.6492726885413216,0.40626793615887236,0.4685836656422499
StochRSI,373,39.41018766756032,-2.2826001079728613,0.656392735735309,-80.01731411486963,-70.00869509570316,4.684805151746101,299913.0490429684,1250264.0732304691,65.41499713795076,0.33394588415742177,0.12127848730224178,0.9813470870980461,0.5197159569380557,0.5653484415721517,0.4612650421903197
ADX,115,20.869565217391305,-1.6690079300735872,0.5033575991027602,-47.58800212851063,-36.69030356445314,-0.5185443898830391,633096.9643554686,1207923.7389648436,11.219232970807099,0.5073539966218685,0.5134799873909144,0.5014027721400547,0.34816306388884954,0.046746788617064605,0.437755888707334
Chandelier,600,22.833333333333332,-1.952582488334071,0.7481144624278117,-66.10611913947919,-64.44127098867176,0.9835705434090912,355587.29011328245,1028131.221671875,49.06124785346308,0.42721260847828935,0.18681442664551873,0.7754654777219591,0.6225363151630358,0.10167554808483259,0.43350848683219695
Chaikin,650,31.538461538461537,-2.434017151796414,0.7452134457636647,-73.39377509963266,-66.31009070312497,-1.7367992344691294,336899.09296875034,1043401.4601953124,46.628506010303376,0.29115370930557916,0.16481594887637496,0.883320650502579,0.6192842659116711,0.3451675823193294,0.43262362822996697
WilliamsR,712,52.24719101123596,-3.4642436853612177,0.65678324819108,-81.27767102107613,-80.3115728851564,-0.5185443898830391,196884.27114843615,1006035.3276953124,75.62106468231254,0.0,0.0,1.0,0.5201537226893298,0.9244135792671095,0.3704644163301104
VWAP_Bounce,474,19.198312236286917,-2.6047016832442016,0.6153613785407437,-60.5431253623504,-55.16692994687495,-1.9215498577547192,448330.70053125045,1086525.3752304688,11.534058385804236,0.24291632380537143,0.295985677169874,0.6931347998894254,0.47371967015481575,0.0,0.3565562269351874
LinReg,47,25.53191489361702,-2.326928474683106,0.19277594055064026,-13.708765680052382,-13.24078343007817,5.47411632521644,867592.1656992183,1005423.2883984373,0.5495134516313681,0.32141818469069694,0.7895118289771265,1.1102230246251565e-16,0.0,0.17715784980143323,0.311519197631634
