Strategy,Total Trades,Win Rate [%],Sharpe Ratio,Profit Factor,Max Drawdown [%],Return [%],Buy & Hold [%],Equity Final [$],Equity Peak [$],Exposure Time [%]
SMA_Cross,61,31.147540983606557,0.07418464523419867,1.0848339753204417,-31.030882486273615,4.640655812890618,8.208571190773718,1046406.5581289062,1434834.9833984375,50.807097882083575
RSI_Div,0,,-0.015275575988825507,,-84.34515696162278,-3.7586508968750016,-0.5185443898830391,962413.49103125,1267138.36603125,0.0
UltOsc,16,31.25,-0.2465981234032691,0.7724785990547707,-36.06676507541646,-16.744912832421903,5.295336224487627,832550.871675781,1063402.4035625,70.440755580996
Keltner,3,33.33333333333333,-0.2560562377265253,0.4969015471678769,-1.1340388570312498,-0.5858169382812571,-2.435592518177239,994141.8306171874,1003847.9069765625,0.1030337721808815
Ichimoku,185,33.513513513513516,-0.37214753250317195,0.9100934583887008,-39.754773437377054,-16.292133354687586,8.20282291361091,837078.6664531241,1294138.1745078124,26.485403548941044
CCI,495,54.94949494949495,-0.820872655289964,0.8795627680507179,-67.08834278428535,-43.33406089687513,3.4666799416128136,566659.3910312487,1496007.2078320296,72.49570692615913
EMA_Ribbon,393,28.498727735368956,-1.1183960819639618,0.8072253434732248,-54.40743058770055,-49.221015638671936,-1.7367992344691294,507789.8436132807,1032618.2556015626,54.41900400686892
TSI,231,49.35064935064935,-1.4406707648012738,0.6994365526163816,-73.29770768469655,-59.62886698867172,-1.852067398797348,403711.33011328295,1301667.176558594,71.70578133943903
ADX,115,20.869565217391305,-1.6690079300735872,0.5033575991027602,-47.58800212851063,-36.69030356445314,-0.5185443898830391,633096.9643554686,1207923.7389648436,11.219232970807099
Chandelier,600,22.833333333333332,-1.952582488334071,0.7481144624278117,-66.10611913947919,-64.44127098867176,0.9835705434090912,355587.29011328245,1028131.221671875,49.06124785346308
AO,651,42.54992319508449,-1.9812128301176648,0.7709041662889615,-71.84422292818954,-69.08212146445324,5.794963961101281,309178.78535546764,1097710.2392421877,73.31425300515168
ParabolicSAR,599,33.7228714524207,-2.0291574668139885,0.7719648591205169,-67.88607621676232,-63.81969159570288,-1.7367992344691294,361803.08404297126,1053431.6810234375,45.51803091013165
StochRSI,373,39.41018766756032,-2.2826001079728613,0.656392735735309,-80.01731411486963,-70.00869509570316,4.684805151746101,299913.0490429684,1250264.0732304691,65.41499713795076
LinReg,47,25.53191489361702,-2.326928474683106,0.19277594055064026,-13.708765680052382,-13.24078343007817,5.47411632521644,867592.1656992183,1005423.2883984373,0.5495134516313681
Chaikin,650,31.538461538461537,-2.434017151796414,0.7452134457636647,-73.39377509963266,-66.31009070312497,-1.7367992344691294,336899.09296875034,1043401.4601953124,46.628506010303376
VWAP_Bounce,474,19.198312236286917,-2.6047016832442016,0.6153613785407437,-60.5431253623504,-55.16692994687495,-1.9215498577547192,448330.70053125045,1086525.3752304688,11.534058385804236
WilliamsR,712,52.24719101123596,-3.4642436853612177,0.65678324819108,-81.27767102107613,-80.3115728851564,-0.5185443898830391,196884.27114843615,1006035.3276953124,75.62106468231254
