Strategy,Trades,Win Rate,Sharpe,Profit Factor,Max DD,Return,B&H Return
VWAP Bounce,75,46.666666666666664,0.12453602570082337,1.2144395238219494,-25.435984076524676,12.057825620203976,240.8135729977264
SMA Crossover 50/200,4,50.0,0.571721740131253,4.21642847497764,-33.71229714483308,132.5090638780129,239.47974644064806
EMA Ribbon 9/21/55,54,31.48148148148148,-0.05185111371137391,0.9841743521138815,-29.035765304306015,-6.342550258324679,240.8135729977264
Keltner Channel,1,0.0,-0.3435826095877576,0.0,-0.919655775489725,-0.919655775489728,251.7905564074498
Chandelier Exit,84,38.095238095238095,-0.03081439026918379,1.021771607503154,-27.905884207812413,-3.821678023912117,241.79530639169315
ADX Trend Strength,16,50.0,0.38097508163896415,2.1329816524077576,-7.252305605177245,15.916834689317247,239.70560744781028
Parabolic SAR,109,39.44954128440367,-0.3638923162847851,0.7997310780817926,-36.03992417607128,-28.46175148752242,240.8135729977264
Ichimoku Cloud,30,46.666666666666664,0.43065030734737275,2.219435850018313,-18.253828262612416,45.25888912300682,229.32768772157445
RSI Divergence,1,0.0,0.0,0.0,-100.0,-100.0,239.70560744781028
Stoch RSI Crossover,50,40.0,-0.02896194018765522,1.130110707776186,-29.73185011050864,-3.7909337604338886,233.22224280103887
CCI,68,51.470588235294116,-0.1752578302258335,0.8427164442949064,-31.026527647681334,-22.33533786084936,251.0320044047166
Donchian Channel,89,40.44943820224719,-0.026943900184006542,1.0035836933972262,-33.74568056113021,-3.671163965391705,251.0320044047166
MFI,11,72.72727272727273,0.07776768898776866,2.445242741618799,-52.186791564574975,14.32848812251645,240.8135729977264
Ultimate Oscillator,22,54.54545454545454,0.49281262903252104,1.8772638995648327,-26.21251551639727,88.39564158703578,238.34318176779243
Williams %R,91,52.74725274725275,-0.26256531007522055,0.7556590435443369,-46.64864737449119,-34.015367428586735,239.70560744781028
TSI,28,60.71428571428571,-0.40250731634273534,0.6230770133821318,-54.84402529135698,-46.369657315160985,247.0817576973244
Chaikin Oscillator,131,23.66412213740458,-1.0629623192529678,0.3673009454070132,-71.99339404185525,-71.28522556010716,240.8135729977264
Awesome Oscillator,81,53.086419753086425,-0.1435021870173705,0.9142917307483054,-46.121737435008846,-18.58535453384542,231.43976011804645
MACD Histogram,195,50.256410256410255,-0.4356761117472952,0.7543756112576792,-65.03459861229078,-50.57826153961283,240.8135729977264
SMC Reversal BT,33,21.21212121212121,-0.23546113520453751,0.7981401751863099,-13.251554865510041,-6.763988220198266,239.70560744781028
SMC Reversal (custom),0,0.0,-999.0,0.0,0.0,0.0,0.0
Linear Reg Channel,14,64.28571428571429,-0.2008775053027885,0.5497530684025612,-4.007867722474822,-2.088727898467274,227.7019536875207
Connors RSI,1,0.0,-0.12463497765658968,0.0,-2.7426175522912044,-0.9021117449987912,239.47974644064806
