Strategy,Trades,Win Rate,Sharpe,Profit Factor,Max DD,Return,B&H Return
VWAP Bounce,75,46.666666666666664,0.12454200679874512,1.2144413468129178,-25.435929154473968,12.061290648031118,239.57369929464502
SMA Crossover 50/200,4,50.0,0.5692087369676263,4.216430827327931,-33.71373823427813,131.66511223837293,238.24471405875806
EMA Ribbon 9/21/55,54,31.48148148148148,-0.051823962776424294,0.984178063526447,-29.033959876437443,-6.340255159958614,239.57369929464502
Keltner Channel,1,0.0,-0.34353370059166993,0.0,-0.9198522383783825,-0.9198522383783828,250.51068150357324
Chandelier Exit,84,38.095238095238095,-0.03369983961164867,1.0217710280504126,-27.907722655609156,-4.17204354761272,240.55172505354042
ADX Trend Strength,16,50.0,0.3808549279818239,2.133002059908225,-7.253059226340386,15.914019640281774,238.46974360803213
Parabolic SAR,109,39.44954128440367,-0.36782653984938624,0.7997322414116323,-36.04039890024521,-28.72260125857446,239.57369929464502
Ichimoku Cloud,30,46.666666666666664,0.4305825884679396,2.219427476026089,-18.255348323002597,45.261726774879314,228.12948397271867
RSI Divergence,1,0.0,0.0,0.0,-100.0,-100.0,238.46974360803213
Stoch RSI Crossover,50,40.0,-0.025792999626740996,1.1301105125196391,-29.727323484903057,-3.3846643380604218,232.01003423688343
CCI,68,51.470588235294116,-0.17529652091971004,0.8427164292218549,-31.029347769221015,-22.34290356402447,249.75491331886843
Donchian Channel,89,40.44943820224719,-0.026940241191421768,1.00358801780863,-33.74322052329103,-3.671331383484718,249.75491331886843
MFI,11,72.72727272727273,0.08092039332788012,2.445248420103264,-52.184390281134064,14.958673190421193,239.57369929464502
Ultimate Oscillator,22,54.54545454545454,0.4899095785638129,1.8772659200690924,-26.215083917708004,87.6971397546268,237.11218496681536
Williams %R,91,52.74725274725275,-0.2625791667582583,0.7556577266906306,-46.65431719015112,-34.02383926549105,238.46974360803213
TSI,28,60.71428571428571,-0.3995808378276459,0.6230770587595102,-54.84390837412831,-46.14293934068743,245.81908419657097
Chaikin Oscillator,131,23.66412213740458,-1.0627151762846658,0.367300541798919,-71.99031078571092,-71.28261286501541,239.57369929464502
Awesome Oscillator,81,53.086419753086425,-0.14351512693756602,0.9142911097024718,-46.124224070632316,-18.59077333884813,230.23396328567566
MACD Histogram,195,50.256410256410255,-0.4378807570334054,0.7543763667553456,-65.0332150016235,-50.75572307744266,239.57369929464502
SMC Reversal BT,33,21.21212121212121,-0.2384975805183399,0.7981438596617325,-13.253417891082474,-6.848825954009022,238.46974360803213
SMC Reversal (custom),0,0.0,-999.0,0.0,0.0,0.0,0.0
Linear Reg Channel,14,64.28571428571429,-0.2009397475400049,0.549736088502942,-4.008568058807949,-2.0899322481565874,226.50973065106493
Connors RSI,1,0.0,-0.12459596214006449,0.0,-2.742493560514714,-0.9019716495386441,238.24471405875806
